Customer Review,Emotion
tidak berfungsi ya ditambah daya pakai mikro usb cas handphone tidak,4
produk kurang baik rusak,4
kualitas merek cina p harga nya ribu an bagus merek ribu an pengiriman lambat official store pesan tanggal tanggal tidak zoom meeting memakai handphone kecewa produk pelayanan logitech keyboard nya tikus nya bagus model nya kapok beli barang proses jam pembatalan pesan nya,4
pengiriman terlambat bilang langsung dikirim habis order chat langsung tidak respon official store merek logitech sungguh mengecewakan,4
mousenya kurang responsif teken kuat,4
pakai sensornya jelek suka kemana,4
kecewa scroll rusak,4
tidak nyala baterai diganti tidak nyala kecewa x kerjain logitech,4
mengecewakan barang dikirim tidak sesuai konfirmasi bolak kali menanggung x ongkos kirim mengecewakan,0
kualitas chargeran jelek banget pakai rusakk,0
pelayanan toko jelek proses barang lambat chat tidak barang,0
barang rusak tidak parah,0
cepat rusak kadang konek kadang tidak,0
barang tidak kotak penyok,0
dicek tidak utuh gb ya kemana sisa gb nya mas mbak butuh ya beli beli,0
pesanan tidak alamat uang menerima pesanan,0
beli kemasan kirim kemasan bintang kon lini,0
anjing palsu barang bangsat awas tertipu oi asli segel distributor nya,0
barang beli,0
buruk,0
barang busuk pakai rusak klaim berbelit adminnya,0
chat tidak balas kuota janjikan gb nya tidak masuk hancur parah parah,0
tidak dikasih adaptor gepeng nya tertipu,0
jir sehari pakai rusak quality control alah,0
solid state drive nya tidak pakai ganti,0
beli mahal ngeblur dipakai zoom menghubungi rekan nya suruh klaim garansi alamat tidak dikasih aduh webcam jutaan kualitas sampah,0
tidak sesuai gambar janggan percaya seller penipu kualitas jelek,0
tolong pengiriman tanggung paket habis berenang comberan tidak isinya pakai masuk bak sampah,0
l r trigger nya ampas,0
jelek,0
barang sampah tidak dikirimkan alamat tong sampah mengecewakan admin tidak chat lihat barang dikirimkan dead pixel layar monitornya kebalik mengecewakan catatan teman teman beli monitor tidak audio speakernya kualitas layar kurang baik rejeki belilah merek bagus menyesal belanja tidak merekomendasikan belanja,0
tidak jujur memaksakan barang terjual barang dikirim tidak sesuai pesanan pembeli disuruh mengirim barang tidak solusi barang tidak risiko barang foto ditawarkan tidak,0
beli tanggal pesanan selesai tanggal tikus rusak tanggal tidak komplain toped admin ditanyain klaim garansi tidak membantu chat balas besok dibalas tidak,0
gue beli dapetnya v desc tidak penjelasan versi bagusan v rgbnya rgb v red green blue sisa warnanya gaguna switch puller gadapet rgb redup tidak pemberitahuan versi keyboardnya kecewa kapok beli ambil v rt x v bagus kecewa gue jual pokoknya,0
belanja official store kondisi barang diterima sampah barang rongsokan terima kasih,0
kacau pesan tikus tidak lengkap tidak penutup baterai bluetoothnya,0
barang harga aslinya an seller sok sok an bikin diskon ribu diskon ribu olshop keras,0
salah beli tidak dituker pas coba tidak pas klaim garansi balas bot tahi,0
tidak puas baik produknya pelayanannya barang cacat kondisi tertutup mejanya tidak menutup rapat pemasangan engselnya tidak sejajar pendek menyebabkan listnya sobek dipaksa menutup daun mejanya fix nya cacat pabrik pengiriman komplain tidak diterima toko penjual suruh hubungi kurirnya,0
quality barang jelek baut lepas,0
banyakk rusakk lecet nya,0
barang pesan bayar harga terima kasih tidak uh dibuktikan cek pengeluaran barang nya cek pembeli pembeli unboxing tidak habis in kuota,0
keyboard tidak nyala baterai dicoba kali tidak murah toko barang tidak bohong,0
barang rusak kirim,0
tidak nih meja utuh baut tidak terpasang baut nya dilem kacau nih,0
driver kacau tokonya barang oke pintar namanya bengak gue kasih puas komen bintang satunya driver,0
kecewa tidak penyelesaian chat kg balas kg balas lari sampah,0
barang dikirim salah pesan webcam logitech logitech official dikirimmya headphone jbl penukaran barang butuh kerja sungguh,0
bagus keyboardnya packing aman double kardus warna keren,3
aaaa bagus pengirimannya cepatt aman packaging nya nyala dicoba beli harga rupiah senengggbangett,3
terima kasihh bos mantappss semoga lancarr berkah rezekinya smngttt bos,3
barangnya buwaguusss sesuai pesanan angin nya kencang angin puting beliung laptop ademmmm benerrr,3
mantap banget kualitas benaran kayak webcam sejutaan,3
selamat mulus berfungsi sempurna seller sabar dikonsultasikan mengemas aman recommended,3
proses pesanan pengiriman barang cepat produk sesuai deskripsi seller responsif sukses jaga protokol kesehatan ya seller terima kasih,3
penjual ramah barangnya bagus sesuai pesanan packing rapi pesan,3
selamat siang bos pesanan terima pasang coba packing rapi aman produk mantap pokoknya top markotop pelayanan oke toko recomended terima kasih salam sukses sehat sejahtera amin,3
recommended seller,3
top banget,3
asli samsung pelayanan baik,3
mantap laptop adem tidak cepat panas,3
memori pasang keping gb ddr berfungsi baik pengiriman lumayan cepat recommended seller,3
wow murah banget packingnya rapi produknya bagus keren mantap uhuuy banget deh pokoknya hehe,3
mantap respon cepat pesanan tidak mengecewakan rekomended belanja spare part terima kasih kerja,3
recommended fast print fast response,3
gila pengiriman cepat surabaya bogor fast respont barang oke sesuai packing rapi recomended seller euy kasih juragan terima kasih toped,3
barangnya cepat recommended tengkyuuu,3
recommended seller respon cepat pengiriman cepat,3
earcupnya lembut best value headset sound mantap nyaman praktis tinggal plug and play mantaaaap laaah gamer,3
respon cepat barang original terbaik recomended packing baik sukses ya,3
kualitas suara oke harga terjangkau barang dijamin orisinal terdaftar website razer langsung pokoknya bagus bassnya kerasa,3
kualitas produk baik harga tertera nyaman dipakai suara keras berfungsi baik definitely would recommend this,3
mantap tanggap fast respon juossssssss,3
barangnya bagus banget harga affordable kualitas lumayan gila sih,3
mantappppp recommended keyboard mousenya,3
mantap minnn pengiriman jam sore gasss,3
mantap kualitasnya tidak diragukan,3
cakap produk nya rekomen nih sesuai deskripsi,3
packing rapi fast response rgbnya bagus rekomendasikan,3
as always tidak gagal belanja terima kasih ggs,3
cakap banget duduk kursi tidak berdiri,3
overall memuaskan layar bagus ipsnya tidak sebagus ilmu pengetahuan sosial televisi warna bagus tidak oversaturated brightness terang pakai gelap silau biar brightness layar putar kaki gampang kedorong refresh rate terbukti cepat fps mantap asa softwarenya bagus setting tidak tombol kabel display port desain keren bezelless nice,3
cinta it produk bagus worth it terima kasih,3
airo customer service super duper bagus okey produknya bagus puas cinta airo,3
barangnya mantap berkualitas kokoh bergaransi seller ramah pokoknya mantap,3
layanan memuaskan seller rekomended,3
packing jamin aman pakai bubblewrap cepat prosesnya senin malam cekout paginya kirim rabu sore cepat puas terima kasih sukses ya tech cube,3
mantap recommended respon seller bintang pesan malam langsung,3
bahan plastik tidak kuat menopang laptop sih kuatnya tablet gaisss baik beli,1
barang tidak dikirim menyusul no resi tidak dikasih,1
tidak,1
saran teman teman beli buang box nya simpan biar beli rusak klaim garansinya,1
packaging tidak aman banget bubble wrap tipis alhasil kemasan barang penyok pas terima kasih god barangnya aman official store baik fix min next aduh,1
biarkan gambar bercerita pesan bh rusak bh percaya balasan pembelaan apapun seller tidak amanah alasan rusak expedisi letak cacat expedisi expedisi ceroboh packingan kardus satuannya bubble tipis seadanya tempelan fragile pesan bubble kardus tambahan seller berusaha dilimpahkan biar diganti asuransi untung diviseo unboxing ditolak expedisi tidak cerita lebar ulasan berhubung kenyamanan buyer pertimbangan bacalah waspadalah waspadalah tidak itikad baik berusaha lepas tangan bahaya rusak tokopedia seller dikasih note proses dichat kirim hati hati dijual ajukan resolusi pengambalian dana tokopedia dialihkan asuransi tokopeda refund dana terima kasih admin,1
chat dijadikan makesure barang warna kaku kaku banget roko,1
barang diterima kondisi rusak alami pembeli complain reject seller tokopedia menengahi retur sayangnya situasi tidak mudah mengirim barang tidak recommend beli toko cenderung tidak amanah,1
ampun packing terasal gue terima patah awas isinya rusak pas gue pakai ya,1
produk chip dalamnya didaur ulang dipasang menggiling aslinya pembeli harap perhatikan teman teman tolong perhatian khusus,1
toko korup tidak sesuai isinya not recommended,1
isi paket via link rekomendasikan gagal via ovo mandiri baca gagal tidak sistem nya jualan,1
kepikiran beli saran produk rto tidak rekan after sales service buruk dijamin pengalaman kecewa,1
pelayanan buruk pengiriman respon beli barang tidak kecewa,1
tidak dpake asli menyesal,1
produk dikirim tidak berfungsi semestinya dikirimkan produk seller tidak layak official store pengiriman barang tidak sesuai jadwal dijanjikan deskripsi sistem tokped slow response seller not recommended,1
respon cellernya mati nungguinnnn pengiriman menunggu berhari pakai pengiriman instan bayar ongkos kirim mahal celler pembeli tinggla jakarta utara tidak arekomen pembeli cari emosi menunggu,1
parah prosesnya semoga pelajaram tim logitech,1
harga sih promo pakai gojek instan mahal ongkirnya barangnya dipakai cepat pas eh patah sebelah standnya kecewa sih jual promo cacat ya catat biar customer tidak beli barang promo cacatnya seller sih oke tukar barang tidak efektif pakai cepat tidak retur ongkos kirim mahal kualitas barangnya mengecewakan deh pokoknya kapok beli,1
hati foto display varian bonus harga berbeda,1
estimasi proses pesanan online platform tidak cepat memenuhi customer online jualan offline customer beli online dipakai delay proses apalah ditulis deskripsi produk customer diinfo proses pemesanan tidak efeknya kemasan dibungkus bubble wrap tipissss tidak terbayang customer apes barangnya dilempar hancur isinya janjiin customer barang dipickup pekan libur sabtu minggu,1
pesan tanggal maret jam pakai pengiriman instan nya tanggal maret bayar mahal dikirimnya keesokan harinya salah pengantarnya driver go send nya mengantarkan paket baik durasi proses toko butuhnya tanggal maret pilih pengiriman instan toko paket dikirim tidak jawabannya kenyataanya paket tidak dikirim tidak dikirim ya bilang ajukan cancel pesanan tidak respon penjual pelayanan buruk tidak recommended semoga baik kedepannya,1
barang palsu,1
tidak info bohong bikin pengalaman tidak menyenangkan beli produk dbe cari toko tipu tipu headphone bikin kuping sakit,1
rgb mati penjual tidak respon barang tidak lulus qc dijual hati hati beli,1
hati belanja unit cacat dibilang suruh ajukan komplain dituker tokonya bilang gabs dituker official store abal tidak solusinya,1
pelayanan toko buruk order laptop barangnya laptop nya tidak nyala habis berusaha solusi seller seller respon seadanya tidak menawarkan solusi lamban pikir respondnya terpaksa ajukan komplain komplain seller tidak diskusi respon kendalanya dicueki jangka habis dana refund baca ulasan anjurkan order toko tergoda tittle official store nyata nya pelayanan toko tidak baik merchant harga tidak murah,1
pengiriman laptop toko tidak dicek laptop dikasih pembeli layar pecah kardus rusak packingan tidak rusak menghabiskan klaim tokpedia berminggu minggu berhasil klaim asuransi toko verified tidak menjamin pelayanan toko buruk respon cepat beli dikomplen mengulur tidak tanggung komplainan langsung dihari berikutny paket dibuka langsung tukar unit langsung toko gunany ditulis deskripsi garansi toko beli terima kasih,1
beli cek review penjualan nya rusak kirim korban cek foto barang order tidak korban kacau toko menjual barang rusak,1
biarkan gambar bercerita pesan bh rusak bh percaya balasan pembelaan apapun seller tidak amanah alasan rusak expedisi letak cacat expedisi expedisi ceroboh packingan kardus satuannya bubble tipis seadanya tempelan fragile pesan bubble kardus tambahan seller berusaha dilimpahkan biar diganti asuransi untung diviseo unboxing ditolak expedisi tidak cerita lebar ulasan berhubung kenyamanan buyer pertimbangan bacalah waspadalah waspadalah tidak itikad baik berusaha lepas tangan bahaya rusak tokopedia seller dikasih note proses dichat kirim hati hati dijual ajukan resolusi pengambalian dana tokopedia dialihkan asuransi tokopeda refund dana terima kasih admin,1
chat dijadikan makesure barang warna kaku kaku banget roko,1
meja laptopnya dibuka kardusnya pecah diujungnya retak dibagian mejanya hijau kusam barang bekas pakai seller dikomplain menolak penukaran barang alasan buktinya kurang diarahkan asuransi tokopedia proses ribet bukti pemusnahan barang pas lihat ulasan mejanya pecah rusak kecewa saran jualan jujur dijual barang bekas ex display bilang tulis deskripsi jujur tolong tokopedia selektif toko packing barang terkesan an pakai kardus tipis tidak pakai bubble wrap semoga tidak customer tertipu,1
tolong cek dikirim ya sekolah dasar,1
barang coba samsung a terbaca pasang cctv tidak penasran coba samsung tidak pensran coba oppo a tidak pensran coba disamsung a tidak seumur umur kasih bintang klaim garansi ribet kapok belnja apliksi toko enkn tko seblah komplain kepenjual disurh komplain toped komplain toped disurh komplain baiknuy penjual aduh pok kapok,1
mempercayakan penyimpanan data mending pikir deh pakai minggu kartu langsung tidak terbaca data tidak selamatkan proses garansinya pakai estimasi sebulan iya sebulan mending beli merek terjamin kualitasnya be carefull and keep healthy terima kasih,1
kecewa produk kakinya goyang tidak oglek hati membeli warna putih tidak sesuai difoto produk barang warna coklat penjual mengotot meja diterima warna putih sesuai foto tidak menerima komplain lihat review pembeli mengalami dikirimkan warna berbeda dipesan membeli menulis pesan order,1
pakai berulah susah hidup kadang hang frezee blank on komputer ganti tidak respon embel garansi lifetime not recommended,1
ramnya tidak pakai tukar x giliran refund susah beli pokoknya tidak recommend hati hati ram palsu,1
suara sebelah produk bermasalah kaulitas kontrolnya tidak rekomen,1
laptop rusak pas aktifkan fan error perbaiki keyboardnya rusak ganti keyboardnya adaptornya rusak belanja,1
barang sesuai bagus cepat,2
produk mantap,2
barang barang bagus sesuai deskripsi produk,2
ukuran karet sesuai mantap pengiriman cepat jadwalnya mantap is the best,2
pengiriman cepat barang kondisi bagus terima kasih ya,2
barang sesuai pesanan kondisi berfungsi baik seller responsif proses kirim cepat recommended,2
barangnya bagus kualitas produk bagus harga terjangkau recomended,2
barang packing oke cocok bt kado bonus dompet koin,2
melempar sesuai deskripsi produk ready persediaan packing rapi,2
barang bagus sesuai harapan pouchnya mantap bagus service seller oke banget terima kasih barang sesuai iklan,2
pengiriman cepat barang bagus packing rapi terima kasih,2
kualitas produk bagus material bagus harga terjangkau recomended,2
kualitas produk bagus material bagus recomended harga terjangkau,2
dipesan langsung proses penjual ramah beyblade berputar kencang harga murah toko,2
kartu nya lengkap harga kompetitif seru banget game nya,2
kartu nya lengkap seru banget game nya harga kompetitif,2
terima kasih pesanan sesuai,2
kartu nya lengkap packing baik model terbaru ready persediaan,2
barang sesuai deskripsi pengiriman cepat recommended seller,2
barang berkualitas sebanding harga kelengkapan tas panduan buku moderator tebal box kartu tebal mantappl,2
mantap juragan barang mendarat mulus kartu oke pemerannya lengkap buku panduan buku catatan moderator terima kasih juragan,2
enak kartunya sesuai ekspektasi plastik benaran licin kerasa awet,2
barang berfungsi baik packaging aman packaging aman barangnya original,2
bagus tahan,2
paket diterima baik sesuai pesanan respon proses nya cepat packing nya rapi safety terima kasih juragan,2
barangnya original packaging aman,2
bagus banget promo bayar rupiah mantap,2
barang bagus tidak mudah robek bahan plastik,2
keren kartu remi nya packaging aman,2
packaging aman barang berfungsi baik,2
barang berfungsi baik packaging aman,2
kualitas barang bagus harga murah,2
pengiriman cepat packing aman harga flashsale,2
beli allhamdulillah barang tujuan memuaskan,2
amazing keren a f barang cepat sampee,2
pelayanan terbaik barang original,2
mantap nih kartu murah bagus kualitas nya tidak menyesal,2
sesuai ekspektasi sih auto belajar triumph,2
packing rapi pengiriman cepat seller responsif produk bagus orisinal recommended pokoknya,2
mantap barang bagus pack aman recommended seller deh mencari memainkan card keren,2
barangnya tidak bagus,4
bikin kecewa pesan items tunggu kekurangan barangnya uno stacko kayu uno card pcs werewolf pcs tidak tolong refund uangnya,4
kecewa tidak pakcing buruk box kayu hancur beli bh jual tidak bagus retur kena biaya terpaksa jual box kayu,4
kecewa sih potongannya tidak rapi ukurannya beda beda what the fuck harga kualitas bagus tidak worth setipis kartu remi bagusnya dikemasan kemasannya oke menarik isinya k what the fuck tidak ikhlas,4
kecewa barang rusak dikirim chat responnya batas otomatis habis langganan ditoko,4
dino unicorn mickey tikus anak kecewa mbak,4
buset kasih merek ares pakai pod ayo langsung bau gosong perdana kecewa belanja toko,4
maaf aga kecewa tidak beli polos tidak tulisan ayo movi gayakin asli mohon maaf ulasan jujur,4
barangnya tidak sesuai gambar ukuran nya kecewa pokoknya,4
barang salah sih ya namanya kecewa,4
tidak sesuai harapan barang susah dimainkan,4
pesan dikasih kecewa banget,4
sih mobil hotwheels sesuai iklan mengecewakan,4
harga segini kurang worth it bahan tidak tebal murah detail bahan baik maaf,4
seller kurang respon kecewa,4
mengecewakan sih seller kurang friendly,4
barang rusak tidak berfungsi tidak mainkan parahhh,4
fungsi pisaunya ditusuk tong kepalanya stay,4
barang tidak benaran tidak tidak toko nya aplikasinya kecewa,4
produknya pakai rusak kecewa banget,4
barang tipis pecah langsung buang sampah,4
barang kasih rusak sungguh mengecewakan mainan nya tidak nyangap kapok beli,4
kecewa barang pas tidak dipakai,4
pengiriman mainan tidak berfungsi baik,4
maennanya macet tidak menutup mulutnya kecewa,4
kecewa,4
retak pakai asuransi kecewaaa,4
barang nya rusak ya harga kualitas,4
barang retak malas retur anaknya keburu sedih,4
kualitas produk mengecewakan mulut buaya dibuka x stuck tidak dipakai klaim mengembalikan barang prosedurnya tidak mudah sampah rumah,4
proses pengiriman mengecewakan customer tidak dibantu penjual kurang baik sok sad,4
kecewa tunggu tidak respon baik penjual nya,4
kecewa tokonya,4
barang berlubang model persegi nya kirim buyer nya model bulat warnanya berantakan jelek,4
kualitas main buruk,4
barang nya rusak,4
bahannya jelek kualitasnya jelek menit rusak,4
jalan kereta nya anakqu kecewa,4
barang tidak mengecewakan,4
barang tidak berfungsi tidak jalan,4
barangnya tidak bagus,0
barang rusak tidak berfungsi tidak mainkan parahhh,0
bahannya plastik jelek suaranya lampunya tidak terang dimainkan patah,0
mainannya rusak tidak dipakai,0
produk cacat kepalanya penyok tukar tidak dikasih,0
jelek dicoba kali rusak giginya tidak pencet,0
beli dikirim kembalikan duit gue penipu,0
kualitas main buruk,0
bahannya jelek kualitasnya jelek menit rusak,0
jelek barang rusak tidak jalan,0
menerima paket selesai ya sih,0
barang jelek pakai gosong segel kebuka,0
barang basah berair bau kualitas tidak bagus tidak surat pemberitahuan tahunan digambar cat nya terkelupas,0
cat nya jelek detailing nya jelek parah murah sih ya jelek,0
produk cacat kepalanya penyok tukar tidak dikasih,0
buruk,0
menerima paket selesai ya sih,0
selesai tidak barang penipu ya,0
dimainkan barang cacat no angkanya pudar parah,0
langsung rusak,0
barang jelek mudah sobek,0
cacat jidatnya banget hadeeuuhh,0
sendinya tidak seret lossssss tidak stand meyesell,0
beli biji telepon toko barang tidak tawarin ganti murah tidak eh dikirim among us ultra violet bilang tidak rugi,0
pesan model cinta dtang mickey anak we mengamuk cat ready cinta tidak bilang,0
bocor payahlah tidak periksa,0
packing barang mengecewakan kotor bocor musiknya tidak jalan baret,0
jelak patah pedang meletot warna ya salah fatal,0
cacat gaming,0
gue pesan dikasih warna gila nih jual,0
harga mahal tidak sesuai ekspetasi cat tidak rapi bahan kayak plastik murahan,0
dikirim beda barang murah selisih eh rusak retur maenannya terlanjur dibuka ya gue kembalikan selisih nya suruh isiin pulsa gue ribu pulsa tidak masuk ditanyain nya oke parah tidak amanah,0
kartunya orisinal sih,0
kotaknya jelek penyok bungkus seadanya,0
sampenya banget semingguan pas barangnya coba patah sialan,0
no good tidak puassss,0
proses kemas kirim seller mohon sabar mohon tunggu tidak kasih kepastian kirim nya tidak end up barang pickup gudang kurir,0
tokonya tidak sportif tidak koperatif pengalaman buruk belanja toko barang cacat diajukan keluhan tidak bertanggung chat tokped tanggapannya memuter memuter kebanyakan basa basi tidak bertanggung makan uang istri hati hati toko,0
jualan ngotottt laku toko nya bang,0
pengiriman dough nya jelek tidak lentur tidak,0
paket mulus tujuan toko terpercaya mantap,3
suka anak senang meronce sesuai pesenanya barangnya bagus terima kasih,3
langsung kreasi anak senang banget pengiriman cepat terima kasih seller,3
respon barang proses cepat terima kasih kyou recommended,3
anak suka aman sih,3
mantap banget pokoknya bagus bola nya warna warni tidak penyok bagus deh anak suka,3
bagus ekspektasi recommended seller,3
mantaaappp bagus kereeennn,3
barang mantap anak suka pengiriman cepat pesan besok,3
pelayanan bagus mantap rekomen beli terima kasih,3
bagus mainan nya anak suka,3
bagus bengedd sesuai ekspektasi,3
barang sesuai deskripsi pengiriman cepat,3
cantik,3
cepat makasihh ya anak senang banget,3
mantaaaaap sesuai tidak gambar nya jujur amanah seler nya tidak menyesal belanja toko pokok nya mantaaaaap deh,3
pesanan cepat diproses packing rapi sesuai pesanan juragan mantap repeat order kesini,3
suka next mencoba nyaman,3
suka slamenya bonusnya pengiriman cepat semoga sukses seller,3
suka wangi banget teksturnya bagus bangeetpacking rapi,3
bagus top,3
mantap tidak kecewa belanja figure sesuai foto kawaii nezuko chan wangy wangyyy hehe bercanda om,3
mantap juragan barang aman terima kasih juragan,3
bagus barang nya,3
bagus banget sumpah harga murah banget,3
mantap banget love it,3
mobilnya bagus banget pengiriman super cepat harga terjangkau,3
mantap recomend barang diterima sesuai gambar,3
okeeee siiipps kereeennn habis tempatbhotwhealsnya juragan,3
keren sempurna,3
overall oke,3
mainannya bagus,3
keren anak suka,3
suka sekaliiii penjualnya responded terima kasih ya sukses seller,3
barangnya keren sayangnya bungkusnya plastik terkesan kurang premium overall kuereennnn terima kasih,3
bagus,3
kualitas oke sesuai harga keren parah,3
mantap sesuai deskripsi gambar,3
first time beli tidak pakai ragu pokoknya worth it,3
the best pengiriman cepat,3
menyarankan transaksi toko pesanan dikirim bohong,1
kali tolong cek baik baik bungkus,1
barang tidak disuruh mengambil tidak rekomen,1
barang tidak dana tidak,1
parah toko tidak tanggung nya,1
tidak adda mesin nya beli,1
mentang dapetnya gratis tokped eh dikirimnyapun seenak jidat packing jelek mainannya tidak dicek rodanya depannya tidak keretanya tidak jalan maaf tidak difoto keburu kesal mainannya hancur kayaknya ponakan next pesanan apapun ya layani penuh hati,1
hati hati guys gue beli tidak dipakai sengaja bintang gue chat abangnya tidak respon,1
beli dipakai hangus kapok beli catridge tidak seminggu,1
order gambar truck pemadam dikirim mobilan police not recommended,1
hot wheels asli bahan plastik harap keterangan barang tidak original,1
orisinal harga sesuai kualitas ya ribu bahan plastik dikasih keterangan deskripsi,1
jar bahannya bagus bahan lumayan tutup jar pita tolong diperhatikan lubangnya gampang ditarik lepas terbalik tutupnya stick kekecilan lobangnya stick plastik tidak masuk diganti tutup stick tutup pita iya pe er ngerjainnya keiket maaf reviewnya bagus,1
merek kereta nya beda gambar dijual merek dijual keluaran cina merek thomas train set thamos train set rel kretanya tidak stabil mencari kualitas mending cari tertipu sebenrnya tidak lihat review penjualnya barang sesuai gambar puas,1
uangnya amanahannya kirim barang dikirim tidak lengkap berniat dikirim kekurangannya berbelit inbox berkali kali alasan no pesanan no resi dikasih alasan berbelit salah kirim barang tidak lengkap rekomended,1
order pcs dikirim pekan senin cek sistem close penjual penipu tidak online,1
seller jelek tidak recommended mending tidak belanja,1
maaf kasih bintang keterangan pilihan warna kuning rusa pilihan warna tidak warna kuning warna hijau biru warna merah muda stok warna tidak a konfirmasi tidak kecewa sih anak cowok cewek kasih warna merah muda kali kirim coba cek,1
tolong cek baterainya juragan baterai bekas dikasih tidak hidup suaranya,1
kayaknya barangnya kempeess makannya dituliss kempes tidak ganti,1
ujungnya bompel kebentur pas ekspedisi saran packaging aman barang mudah pecah,1
proses cepat produk bagus finising mulus saran om pengelam fi tingkatkan beberan sisi kurang menempel nya lobang gantungan nya besarkan om terima kasih,1
barangnya kiraan benaran promo,1
barang palsu hot wheels original made in cina made malaysia surat pemberitahuan tahunan diskripsi,1
hot wheels asli bahan plastik harap keterangan barang tidak original,1
orisinal harga sesuai kualitas ya ribu bahan plastik dikasih keterangan deskripsi,1
mobil asli hot wheels aslinya,1
