Customer Review Final,Emotion Encoded
pas beli nanya tipe macbook pro inch m variasi nya jual new pro pas dateng casing kecil salah tipe jual pake alesan gamau tanggung salah ya yg ngejual kecewa gamau beli ga tanggung,4
barang kota casing mudah lepas jujur kecewa,4
kecewa belanja pesan kirim,4
tissue bersih alat bantu pasang kecewa,4
salah beli barang tp toko kompromi barang segel kecewa dehhh,4
data error hilang,4
kecewa toko official ga tau sen ga konfirmasi sampe batalin sistem ga direspon pesan suruh pesan toko konfirmasi doang ga kirim sampe udah tinggal menit dibatalin sistem untung gara chat cs tokopedia barang kirim detik ga sampe situ aja payah barang ambil kurir tanggal pickup barang kurir proses kirim lot muter udah rumah tanggal jam malem paket sampe,4
packing ada bubble selap tambah lapis plastik hasil barang terima patah,4
mic ga nyala,4
kartu sd nya gb official mksofficial kecewa original,4
cepat tdk sesuai dgn deskripsi,4
berfugsi,4
mouse bagus pointer nya gerak gerak,4
infra red nya jelek suka mental,4
batre sesuai ukur nano receiver,4
boros batre,4
barang error,4
jaringanya ngelek banget lelet mending pake indihome de nyesel beli orbit jaring ya parah,4
tdk sesuai ekspektasi,4
lambat,4
paket gb regiatrasi cm mb,4
register call center team orbin helpful dar info gerai orbin buka no telp suruh cari google cari nomor telp hubungin salah info valid sesal beli orbit call center team orbin helpful dar info gerai orbin buka no telp suruh cari google cari nomor telp hubungin salah info valid sesal beli orbit,4
sesuai,4
janji kirim instant pakai tutup toko kirim paket malam pas besok coba ssd nya baca bilang kirim toko agarnbisa kirim tangerang ongkos gojek instant rb kirim sampaiiii minggu kirim sengaja lamain professional jual online jual barang rusak etikat ucap maaf tutup anggap licik pelit ongkir nya suruh tanggung pas barang lihat mah lupa garansi produk yg ganti rusak,4
beli ssd terima kondisi rusak,4
fungsi yaa tambah daya pakai mikro usb cas hp,4
bagus colok hardisk external tdk deteksi,4
fungsi yaa tambah daya pakai mikro usb cas hp,4
produk rusak,4
kualitas merk china p harga nya rb an bagus merk rb an kirim lambat official store pesan tgl tgl tdk zoom meeting pakai hp kecewa produk layan logitech utk keyboard nya mouse nya emang bagus bbrp model nya sy kapok beli barang proses bbrp jam sblm batal pesan nya,4
kirim lambat bilang lgsg kirim habis order chat lgsg ga respon utk official store brand gede logitech sungguh kecewa,4
mousenya responsif jd teken kuat,4
pake sensor udah jelek suka mana,4
kecewa scroll rusak,4
bom udah gak nyala baterai udah ganti gak nyala kecewa udah x kerjain logitech,4
kecewa barang yg kirim sesuai konfirmasi bolakbalik kali nanggung x ongkos kirimsangat kecewa,0
kualitas chargeran jelek bangettt pakai rusakk,0
layan toko jelek proses barang lambat chat barang ratarata,0
barang rusak ga parah,0
cepet rusak kadang konek kadang engga,0
barang gajelas kotak penyok,0
cek utuh gb ya mana sisa gb nya masmbakrn butuh yaudahlah tau beli beli,0
pesan alamat uang terima pesan,0
beli kemas kirim kemas bintang kontl,0
anjing palsu barang bangsat awas tipu oi asli segel distributor nya,0
barang kw beli,0
buruk,0
barang bosok pake rusak claim belit ama adminnya,0
chat balas kuota janji gb nya masuk hancur la parah parah,0
ga kasih adaptor gepeng nya tipu,0
jir hari pake udah rusak quality control yg bener ahelah,0
gmn ssd nya gak pake sy ganti,0
beli mahal ngeblur pakai zoom hubung cs nya suruh klaim garansi aja alamat ga kasih hadeuhh webcam juta kualitas sampah,0
sesuai gambar janggan percaya ama seller tipu kualitas jelek,0
tolong kirim tanggung paket habis renang comberan gak isi pakai masuk bak sampah,0
l r trigger nya ampas,0
jelek,0
barang sampah kirim alamat tong sampah kecewa admin merespon chat lihat barang yg kirim dead pixel layar monitor balik kecewa catat temanteman yg beli monitor audiospeakernya kualitas layar rejeki bilah merek yg bagus sesal belanja rekomendasi belanja,0
jujur paksa barang jual barang kirim sesuai pesan beli suruh kirim barang yg solusi barang resiko barang yg foto tawar,0
beli tgl pesan selesai tgl danmouse rusak tgl gak komplain toped admin ditanyain gmna klaim garansi bantu chat bales besokda dibales gk,0
gua beli dapetnya v desc gada jelas versi bagus v rgbnya rgb v bener bener red green blue sisa warna gaguna switch puller gadapet rgb redup ngga pemberitahuan versi keyboardnya bener kecewa kapok beli da ambil ae vrtx v tuh bagus drpd kecewa gua jual pokok,0
belanja official store kondisi barang terima sampah barang rongsok terima kasih,0
ngaco banget sen mouse gak lengkap gak tutup batre bluetoothnya,0
barang emang harga asli an seller sok sok an bikin diskon yg rb diskon rbolshop emang keras,0
salah beli gabisa dituker pas coba gabisa pas klaim garansi gimana bales bot tai,0
puas produk layan barang cacat kondisi tutup meja tutup rapat pasang engsel sejajar pendek yg sebab listnya sobek krn paksa tutup daun meja fix nya cacat pabrik kirim komplain ga terima toko jual suruh hubung kurir,0
quality barang jelek baut lepas,0
banyakk rusakk lecet nyaaaa,0
barang pesan dateng bayar harga yg dateng makasih ga ush bukti cek aja keluar barang nya cek beli jgn beli unboxing ga abisin quota,0
keyboard tdk nyala baterai coba kali tdk murah toko barang tdk bohong,0
barang rusak kirim,0
gak bener nih dateng tuh meja utuh baut gak pasang baut banget lem ngaco nih,0
driver ngaco toko barang ok smart nama bengak gua kasih puas komen jg lu bintang satu driver,0
kecewa lahgk penyelesaiandi chat kg bls wa kg bls lari gitu aj sampah,0
barang kirim salah pesan webcam logitech logitech official bs dikirimmya headphone jbl tukar barang butuh kerja sungguh,0
bagus banget keyboardnya packing aman double kardus warna keren,3
aaaa bagus banget kirim cepatt aman packaging nya nyala tdi udh coba beli dgn harga rp senengggbangett,3
terima kasihh boss mantappss smoga lancarr n berkah rezekinyasmngttt boss,3
barang buwaguusss sesuai pesan angin nya kencang angin puting beliung laptop ademmmm benerrr,3
mantap bgt kualitas beneran kaya webcam juta,3
selamat mulus fungsi sempurna seller sabar konsultasi emas aman recommended,3
proses pesan kirim barang cepat produk sesuai deskripsi seller responsif sukses jaga protokol sehat ya seller terima kasih,3
jual ramah barang bagus sesuai dgn pesan packing rapi cmn pesan,3
selamat siang bos pesan terima pasang coba packing rapi aman product mantap pokok top markotop layan oke toko recomended makasih salam sukses sehat sejahtera aamiin,3
recommended seller,3
top bgt,3
asli samsung layan,3
mantap laptop jd adem ga cpt panas,3
memory sdh sy pasang keping gb ddr fungsi dg kirim lumayan cepat recommended seller,3
waw murah bangetttt packingnya rapih produk bagus keren mantap uhuuy pis deh pokok hehehehehe,3
mantab respon cepat pesan kecewa rekomended belanja spare part terima kasih kerja sama,3
recommended fast print fast response,3
gilapengiriman cepet bangetdr surabaya bogorfast respontbarang oksesuai bangetpacking rapirecomended seller euyma kasih ganthanks toped,3
barang cepet banget recommended tengkyuuu,3
recommended seller respon cepat kirim cepat,3
earcupnya lembut best value headset sound mantap nyaman praktis tinggal plug and play mantaaaap laaah gamer,3
respon cepat barang original baik recomended packing sukses ya,3
kualitas suara ok banget harga jangkau barang jamin ori daftar website razer langsung pokok bagus bassnya rasa,3
kualitas produk harga tera nyaman pakai suara keras fungsi definitely would recommend this,3
mantaaap tanggap banget fast respon juossssssss,3
barang bagus bangett harga affordable kualitas lumayan gokil sihh,3
mantappppp recommended keyboard ma mousenya,3
mantab minnn kirim jam sore gasss,3
mantap banget kualitas gak ragu,3
cakep produk nya rekomen banget nih sesuai deskripsi,3
packing rapih fast response rgbnya bagus rekomendasi,3
as always gapernah gagal belanja thanks ggs,3
cakep bet dah duduk aja kursi sampe ga diri,3
overall muas layar bagus ipsnya ga bagus ips tv warna bagus ga oversaturated brightness terang pakai gelap silau biar brightness udah layar putar cm kaki gampang dorong refresh rate bukti cepat fps mantab asa softwarenya bagus jd setting ga tombol dpt kabel display port desain keren bezelless nice,3
love it product bagus worth it thank you,3
airo customer service super duper bagus okey produk bagus puas banget love airo,3
barang mantap kualitas kokoh garansi seller ramah pokok mantap banget,3
layan muas seller rekomended,3
packing jamin aman pakai bubblewrap cepet banget proses senin malam cekout pagi kirim rabu sore cepat puas terimakasih sukses yah tech cube,3
mantap recommended respon seller bintang pesan malam langsung,3
bahan plastik kuat topang laptopini sih kuat tablet gaisss beli,1
barang ga sampe kirim nyusul no resi ga kasih,1
gak gimana,1
saran aja temen temen beli buang box nya simpan biar kalo beli rusak claim garansi,1
packaging gk aman bgt bubble wrap tipis alhasil kemas barang penyok pas dateng thank god barang aman official store fix min next duh,1
biar gambar cerita pesan bh yg rusak bh jgn percaya balas bela apa seller amanah alas rusak expedisi letak cacat expedisi yg expedisi ceroboh packingan kardus satu bubble tipis ada tempel fragile pesan bubble kardus tambah seller usaha limpah biar ganti asuransi untung diviseo unboxing tolak jg dr expedisi cerita lebar ulas hubung nyaman buyer utk timbang baca waspada waspada itikad usaha lepas tangan bahaya rusak tokopedia seller kasih note proses dichat kirim utk hati hati utk jual aju resolusi pengambalian dana tokopedia tp alih asuransi utk tokopeda refund dana trims admin,1
chat jadi makesure barang warna dll jgn kaku kaku bgt roko,1
barang terima kondisi rusak alami beli complain reject seller tokopedia tengah retur sayang situasi mudah kirim barang recommend beli toko cenderung amanah,1
ampun dah packing asal yg gua terima klu patah gimana awas aja isi rusak pas gua pake ya,1
produk chip dalam daur ulang pasang giling katakata asli beli harap perhati temanteman tolong perhati khusus,1
toko korupga sesuai isinyanot recommended,1
isi paket via link aja yg rekomendasi aja gagalvia ovomandiri sampe bca aja gagalga system nya jual,1
nope pikir beli saran product rto gajelas cs after sales service yg buruk jamin alam kecewa,1
layan buruk kirim respon beli barang kalo ga kecewa aja,1
gk dpake asli nyesel,1
produk yg kirim fungsi mesti sdh kirim lg produk seller layak official store kirim barang sesuai jadwal janji deskripsisistem tokped slow response seller not recommended,1
respon cellernya mati nungguinnnnpengiriman nunggu hari pake kirim instan dah bayar ongkir mahal celler beli tinggla jakarta utara g arekomen beli cari laindari emosi nungguin,1
parah proses banget moga pelajaram team logitech,1
harga sih promo sy pake gojek instant mahal ongkirnya drpd barang krn dipake cepet pas nyampe eh udah patah belah standnya kecewa sih karna kalo jual promo cacat ya catet gitu biar customer ga beli barang promo kalo tau cacat seller si oke tuker barang tp udh ga efektif aja sy pake cepet jg jd ga retur jg ongkir mahal kualitas barang kecewa deh poko kapok beli,1
hati foto display varian yg bonus harga beda,1
estimasi proses pesan online platform kalo ga cepet menuhin customer online jual offline aja customer beli online dipake delayproses apa tulis deskripsi produk customer nanya info proses mesan ga efek kemas bungkus bubble wrap tipissss ga bayang kalo customer yg apes barang lempar ancur isi janjiin customer barang dipickupantar weekend aja libur sabtuminggu,1
pesan tanggal maret jam pakai kirim instant nya tanggal maret bayar mahal kirim esok hari salah antar driver gosend nya antar paket durasi proses toko butuh tanggal maret pilih kirim instant toko paket kirim jawab nyata paket kirim kirim ya bilang aju cancel pesan respon jual layan buruk recommended moga depan,1
barang palsu,1
ga info bohong bikin alam senang kalo beli produk dbe cari toko laen tipu tipu headphone dateng bikin kuping sakit,1
rgb mati jual gak respon barang gak lulus qc yg jual hati hati beli,1
hati belanja dapet unit cacat dblg suruh aju komplain nti dituker trnyta toko sndiri yg blg gabs dituker official store abal mah ga solusi gmn,1
layan toko buruk order laptop barang laptop nya ga nyala habis usaha solusi seller seller respon ada tawar solusi lamban mikir respondnya banget paksa aju komplain komplain seller ga diskusi respon kendala dicuekin jangka habis dana refund yg baca ulas anjur utk order toko goda tittle official store nyata nya layan toko ga merchant harga ga murah,1
kirim laptop dr toko cek laptop yg kasih beli layar pecah kerdus rusak packingan yg rusak habis klaim tokpedia minggu minggu hasil klaim asuransi toko yg verified jamin layan toko buruk respon cepat beli aja dikomplen ulur tanggung komplain langsung hari berikutny paket buka yg seharusny langsung tuker unit langsung dr toko trus gunany tulis deskripsi garansi toko beli thanks,1
beli cek review jual nya yg rusak kirim korban cek foto barang order korban kacau toko jual barang rusak,1
biar gambar cerita pesan bh yg rusak bh jgn percaya balas bela apa seller amanah alas rusak expedisi letak cacat expedisi yg expedisi ceroboh packingan kardus satu bubble tipis ada tempel fragile pesan bubble kardus tambah seller usaha limpah biar ganti asuransi untung diviseo unboxing tolak jg dr expedisi cerita lebar ulas hubung nyaman buyer utk timbang baca waspada waspada itikad usaha lepas tangan bahaya rusak tokopedia seller kasih note proses dichat kirim utk hati hati utk jual aju resolusi pengambalian dana tokopedia tp alih asuransi utk tokopeda refund dana trims admin,1
chat jadi makesure barang warna dll jgn kaku kaku bgt roko,1
meja laptop buka kardus pecah ujung retak bagi trus meja hijau kusam barang bekas pakai seller komplain tolak tukar barang alas bukti arah utk asuransi dr tokopedia dgn proses yg ribet bukti musnah barang jg pas sy lihat ulas yg dapet meja pecah rusak kecewa saran jual yg jujur kl yg jual barang bekas ex display bilang tulis deskripsi yg jujur tolong tokopedia selektif toko yg packing barang kes asal pakai kardus tipis ga pakai bubble wrap moga ga customer yg tipu,1
tolong cek kirim ya sd,1
barang pertma coba samsung a terbacabaru pasang cctv ternyta ga bisapenasran coba samsung m ga bisapensran coba oppo a ternyta ga jugamasih pensran coba disamsung a ternyta dh ga bisaseumur umur kasih bintang klaim garansi ternyta ribet jugakapok belnja apliksi toko inimasih enkn tko seblahkomplain jual disurh komplain topedkomplain toped disurh komplain gimna baiknuy penjualhadehpok kapok,1
percaya simpan data mending pikir deh pakai blm minggu kartu langsung baca data yg bsa selamat proses garansi aja pake estimasi bulan yap bulan mending beli yg aja merk blum jamin kualitas be carefull and keep healthy thx,1
kecewa produk kaki goyang oglek hati beli warna putih sesuai foto produk barang yg warna coklat jual ngotot meja yg terima warna putih sesuai foto terima komplain lihat review beli alami yg kirim warna beda pes msg beli tulis pesan order,1
pake udh ulah susah hidup kadang hang frezee blank on komputer ganti gk respon trs embel garansi lifetime not recommended,1
ram gabisa pakai udh tuker x gilir dimintain refund susah banget beli pokok ga recommend banget hati hati ram palsu,1
suara belah produk masalah kaulitas kontrol gak rekomen,1
laptop rusak pass aktif fan error baik keyboardnya rusak ganti keyboardnya adaptor rusak belanja,1
barang sesuai bagus cepat,2
produk mantapp,2
barang barang bagus sesuai deskripsi produk,2
ukur karet sesuai mantul kirim cepat jadwal mantap dah is the best,2
kirim cepat barang kondisi bagus makasih ya,2
barang sesuai pesan kondisi fungsi seller responsif proses kirim cepat recommended,2
barang bagus kualitas product bagus harga jangkau recomended,2
brg packing oke cocok bt kado bonus dompet koin,2
lempar sesuai deskripsi produk ready stock packing rapi,2
barang bagus sesuai harapanpouchnya mantap bagusservice seller ok buangetterima kasih barang sesuai iklan,2
kirim cepat barang bagus packing rapi terimakasih,2
kualitas product bagus material bagus harga jangkau recomended,2
kualitas product bagus material bagus recomended harga jangkau,2
pes langsung prosespenjual ramah beyblade putar kencang harga murah toko laen,2
kartu nya lengkap harga kompetitif seru bgt game nya,2
kartu nya lengkap seru bgt game nya harga kompetitif,2
terima kasih pesan sesuai,2
kartu nya lengkap packing model baru ready stock,2
barang sesuai deskripsi kirim cepat recommended seller,2
barang kualitas banding dg harga lengkap tas pandu yg buku moderator tebal box kartu tebal mantappl,2
mantap gan barang darat mulus kartu oke per lengkap buku pandu ama buku catetan moderator makasih gan,2
enak kartu sesuai ekspektasi plastik beneran licin rasa awet,2
barang fungsi packaging aman packaging aman barang original,2
bagus tahan banget,2
paket sdh terima dgn sesuai pesan respon proses nya cepat packing nya rapi safety thanks gan,2
barang original packaging aman,2
bagus bangettt dapet promo cuman bayar rp mantap,2
barang bagus gak mudah robek bahan plastik,2
keren sdh kartu remi nya packaging aman,2
packaging aman barang fungsi,2
barang fungsi packaging aman,2
kualitas barang bagus harga murah,2
kirim cepat packing amandapat harga flashsale,2
beli allhamdulillah barang tuju muas,2
amazing cool a f barang cepat sampee,2
layan baik barang original,2
mantap nih kartu murah bagus kualitas nya gak nyesel,2
benerbener sesuai ekspektasi sih auto ajar triumph,2
packing rapi kirim cepat seller responsif produk bagus ori recommended pokok,2
mantap barang bagus pack aman banget bener recommended seller deh nyari playing card yg keren,2
barang bagus,4
yg bikin kecewa sen items yg nyampe tunggu kurang barang uno stacko kayu uno card pcs werewolf pcs tolong refund aja uang,4
kecewa pakcing buruk box kayu hancur beli bh jual gak bagus retur kena biaya paksa jual box kayu,4
kecewa sih potong gak rapi ukur beda beda yg wtf dgn harga segitu kualitas uda bagus gak worth setip kartu remi bagus kemas doang kemas oke tarik tp yg isi k wtf gak ikhlas,4
kecewa brg rusak kirim chat responnya batas otomatis habis sdh langgan toko,4
yg dino unicorn mlh yg dtg mickey mouseanak kecewa loh mba,4
buset kasih merk ares pake pod kuy langsung bau gosong perdana kecewa belanja toko,4
maaf sy aga kecewa ga yg bli ko polos gada tulis kuy movi gayakin asli skali lg mohon maaf ulas jujur,4
barang ga sesuai gambar ukur nya kecewa pkoknya,4
barang banget salah sih ya gimana nama kecewa,4
sesuai harap barang susah dimainin,4
sen kasih apakecewa bgt,4
si mobil hotwheels nggak sesuai iklan kecewa,4
harga gin worth itbahan tebal murah detail bahan sorry,4
seller respon kecewa,4
kecewa sih seller friendly,4
barang rusak ga fungsi ga mainin parahhh,4
nggak fungsipisaunya tusuk tong kepala stay,4
barang kagak sampebeneran kagak sampe gak toko nya aplikasi kecewa,4
produk pakai doang rusak kecewa bangettt,4
barang tipis banget jd udh pecah jd langsung buang sampah,4
barang kasih rusak sungguh kecewa main nya nyangap kapok beli,4
kecewa barang pas gak pakai,4
kirim main gak fungsi,4
maennanya macet g nutup mulutnyakecewa,4
kecewa,4
retak pakai asuransi kecewaaa,4
barang nya rusak yah harga kualitas,4
barang retak malas retur anak keburu sedih,4
kualitas produk kecewa mulut buaya buka x stuck pakai klaim kembali barang prosedur mudah sampah rumah,4
proses kirim kecewa customer tdk bantu jual merespon so sad,4
kecewa tunggu respon yg jual nya,4
kecewa toko,4
barang lubang model persegi nya kirim buyer nya model bulat warna beranta jelek,4
kualitas main buruk,4
barang nya rusak,4
bahan jelek kualitas jelek brp menit rusak,4
nggak jalan kereta nya anakqu kecewa,4
barang kecewa,4
barang berfungsitidak jalan,4
barang bagus,0
barang rusak ga fungsi ga mainin parahhh,0
bahan plastik jelek suara banget lampu jg gk terang bru jg dimainin udah patah,0
main rusak gak dipake,0
produk cacat kepala penyok tukar gak kasih,0
jelek coba kali udah rusak gigi ga pencet,0
beli kirim doang balikin duit gw tipu,0
kualitas main buruk,0
bahan jelek kualitas jelek brp menit rusak,0
jelek barang udah rusak gk jalan,0
bom terima paket selesai yah gimana sih,0
barang jelek pake udah gosong segel udh buka,0
barang basah air bau kwalitas bagus spt gambar cat nya byk yg kelupas,0
cat nya jelek banget detailing nya jelek parah murah sih ya gitu jelek,0
produk cacat kepala penyok tukar gak kasih,0
buruk,0
bom terima paket selesai yah gimana sih,0
selesai gak barang tipu ya,0
blm dimainin barang udh cacat no angka yg pudar parah dah,0
dateng langsung rusak,0
barang jelek mudah sobek,0
cacat gitu jidatnyamana bgt lagihadeeuuhh,0
sendi ga seret lossssss ga stand meyesell banget,0
beli biji telp toko barang gk n d tawarin ganti murah gak eh kirim among us yg uv bilang rugi,0
pesan model love yg dtang mickeyanak we jdi ngamukdi cat ktanya ready yg loveklo ga bilang,0
bocor payah ga periksa,0
packing barang mengecewakankotor bocor musik jg ga jalanbanyak baret,0
jelak yg patah pedang meletot warna ya yg salah fatal,0
cacat gaming,0
gw sen kasih warna gila ni yg jual,0
harga mahal ga sesuai ekspetasi cat ga rapih bahan kyk plastik murah,0
yg kirim beda barang yg murah selisih eh rusak retur maenannya dah lanjur dibukayauda gw balikin selisih nya aja dg suruh isiin pulsa gw aja rb udah pulsa ga masukditanyain nya ok doang parah ga amanah,0
kartu kw semuakatanya ori gimana sih,0
kotak jelek penyok bungkus ada doang,0
udah sampenya bgd minggu trs pas barang coba patah sial,0
no good puassss,0
proses kemaskirim seller mohon sabar mohon tunggu kasih pasti kirim hrs nya end up barang pickup gudang kurir krn,0
toko sportif koperatif alam buruk belanja toko barang cacat aju keluh tanggung chat tokped wa tanggap muter muter doang banyak basa basi tanggung lu makan tuh uang istri lu hati hati toko,0
jual ngotottt nggak laku toko nya bang,0
kirim banget dough nya jelek banget ga lentur ga,0
paket mulus tuju toko percaya mantab,3
sukaanak jd neng meroncesesuai pesenanyabarangnya jg bagus mksh,3
sampe langsung kreasi anak neng bgt kirim jg cepat makasih seller,3
respon barang proses cepat thx kyou recommended banget,3
anak suka aman si,3
mantep bgt pokok bagus bola nya warna warni gak penyok bagus deh anak suka,3
bagussesuatu ekspektasi recommended seller,3
mantaaappp bagus kereeennn,3
barang mantap anak sukadah gitu kirim cepat banget pesan besok dah sampe,3
layan bagus mantap rekomen banget beli terima kasih,3
bagus banget main nya anak suka,3
bagus bengedd sesuai ekspektasi jugaaa,3
barang sesuai deskripsi kirim cepat,3
cantik banget,3
sampe cepet makasihh yahhanak neng bangettt,3
mantaaaaap sesuai g gambar nya jujur amanah seler nya ngak nyesel belanja toko pokok nya mantaaaaap deh,3
pesan cepat proses packing rapi sesuai pesan juragan mantab repeat order kesini,3
suka banget next ken nyobain nyaman,3
suka banget ama slamenya bonus byk kirim cepat moga sukses seller,3
suka banget wangi bgt tekstur bagus bangeetpacking rapi,3
bagus bangettop,3
mantap gk kecewa belanja figure sesuai foto kawaii banget nezukochan wangy wangyyy hehe becanda om,3
mantap gan barang aman makasih gan,3
bagus banget barang nya,3
bagus bgt sumpahharga murah bgt,3
manteb bangettt lov it,3
mobil bagus bgt kirim super cepat harga jangkau,3
mantap banget recomend barang yg terima sesuai gambar,3
okeeee siiipps kereeennn abis utk tempatbhotwhealsnya gan,3
keren banget sempurna,3
overall ok banget,3
main bagus banget,3
keren bangetanak suka banget,3
sukaa sekaliiii sellernya responded banget terima kasih ya sukses seller,3
barang kerennnn banget sayang bungkus plastik shg kes premium overall kuereennnn terimakasih,3
bagus banget,3
kualitas oke sesuai harga keren parah,3
mantap sesuai deskripsi gambar,3
first time beli gak pake ragu pokok worth it banget,3
the best banget kirim cepat,3
saran transaksi toko pesan kirim bohong klo,1
kali tolong cek bungkus,1
barang suruh ngambil ngga rekomen banget,1
barang dana gk,1
parah toko ga tanggung nya,1
ga adda mesin nya beli,1
mentang dapetnya gratis tokped ehh kirim enak jidat packing jelek main gak cek roda depan gak kereta gak jalan sorry gak foto keburu kesel main udh ancur kayak ponakan next kalo pesan liat apa ya layan aja penuh hati,1
hati hati guys gua beli bener bener gabisa dipake sengaja ngasih bintang gua chat abang ga respon,1
beli pakai udah hangus kapok beli catridge gak sampe minggu,1
order gambar truck madam kirim mobil police not recommended,1
hot wheels asli bahan plastik harap terang barang tdk original,1
oriharga sesuai kualitas ya rb bahan plastikharusnya kasih terang deskripsi,1
jar bahan bagus bahan yg lumayan tutup jar pita tlg perhati lubang gampang tarik smp lepas tp balik dgn tutup stick yg kecil lobangnya stick plastik g masuk hrs ganti tutup stick jd tutup pita tp y pe er ngerjainnya krn udh keiket gt maaf reviewnya bagus,1
merek kereta nya beda banget gambar yg jual merek yg jual keluar china merek thomas train set thamos train set rel kretanya gk stabil kalo nyari kualitas mending cari aja tipu sebenrnya gk liat review mgkn kalo jual ngasih barang yg sesuai gambar puas,1
uang amanah kirim barang yg nggak dikirimtidak lengkap niat kirim kurang belibet inbox kali kali alas no pesan no resi kasih tetep aja alesan belibet salah kirim brg ngga lengkap nggak rekomended,1
sy order pcs kirim krn weekend senin sy cek system sdh close jual tipu krn tdk online,1
seller jelek ga recommended mending ga belanja,1
maaf sya kasih bintang terang udh pilih warna kuning rusa pilih warna warna kuning warna hijau biru yg dteng warna pink stok warna yg harusa konfirmasi kecewa si karna anak cowo cewek kasih warna pink kali sblum kirim coba cek,1
tolong cek baterai gan baterai bekas kasih pantes gak hidup suara,1
kayak smua barang kempeess makan dituliss klo kempes gabisa ganti,1
ujung bompel bentur pas ekspedisi saran packaging yg aman utk barang mudah pecah,1
proses cepat produk bagus finising mulus saran om kelam fi tingkat beber sisi yg nempel nya lobang gantung nya d besar om terima kasih,1
barang kw kirain beneran promo,1
barang palsu hot wheels original made in china made malaysia spt skripsi,1
hot wheels asli bahan plastik harap terang barang tdk original,1
oriharga sesuai kualitas ya rb bahan plastikharusnya kasih terang deskripsi,1
mobil asli hot wheels sy asli,1
kali kirim barang cek fungsi dinamo ny yaa seller kirim dinamo nya tapi tetep fungsi motor nya lampu musik tombol mesin ny gk nyala udh ces hari ttep ajh gk nyala,1
barang gua uda nunggu males gua beli,1
kaki main robot hulk pecahrusak mohon cek sblm kirim brh,1
mending toko,1
kecewa robot nya lot kyaxnya yg kw ny ga dah blanja,1
hati hati jebak be careful judul deskripsi tulis dart game isi paket buah papan dart inch nyata yg kirim ukur inch be careful,1
barang lengkap next cek bner dlu sblm kirim gak cm kirim ajajual gk rugimlh ngrugiin customersuruh kirim kurang barang gak mauribet gmn dpt puas n percaya pelangg,1
barang terima kondisi pinggir patah,1
barang kirim beli kirim ulang toko tolak,1
hati gaes kirim barang yg salah,1
kiri beli beli pcs yg kanan beli warna kualitas beda bin bahan tipis warna cerah beli,1
kurir sameday kirim besok pdhal kirim pake sameday bilang toko barang ga ready sih jd sistem ambil kumpul order kirim ya kaya,1
sen playdogh kirim sen stamp tp ga dikirimpadahal byr fullga cfm sekalisangat ga rekomended toko maaf sy ksh bintang kali hrs amanah kl jual,1
mantap kali order ulang,2
terimakasihbarang sdh terima coba enak,2
enak kenyang bgt nasi putih,2
coklat nya dgn selamat tdk leleh packing aman kirim cepat harga murah thank you,2
harga murah kualitas produk,2
respon jual cepat kirim cepat dankemasan rapih,2
mantap barang ori packing oke harga promo muraj aja promo ya,2
