Customer Review,Emotion
kecewa penjual ga tanggung jawab komplen berhari gada solusi,4
pas beli nanya dulu tipe untuk macbook pro inch m yang mana di variasi nya kata penjualnya yang new pro pas dateng casing kekecilan karena salah tipe ternyata dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual kecewa gamau lagi beli disini ga tanggung jawab,4
barang sampai terlalu lama padahal masih dalam kota casing mudah lepas jujur mengecewakan,4
kecewa belanja di tempat kamu lain di pesan lain dikirim,4
tidak ada tissue pembersih atau alat bantuan lainnya untuk memasang sangat kecewa,4
salah beli barang tp toko tidak ada kompromi sama sekali padahal barang masih disegel kecewa dehhh,4
data sering error dan hilang,4
kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal dan pickup barang sama kurir lebih dari hari proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal jam malem paketnya sampe,4
packing seadanya bubble hanya selapis saja ditambah lapisan plastik hasilnya barang diterima dalam keadaan patah,4
mic dari awal ga nyala,4
kartu sd nya cuma gb katanya official tapi malah mksofficial kecewa ini tidak original,4
kecepatan tdk sesuai dgn deskripsi,4
tidak berfugsi,4
mouse kurang bagus pointer nya gerak gerak sendiri,4
infra red nya jelek suka mental ke mana,4
batre tidak sesuai ukuran dan tidak ada nano receiver,4
boros batre,4
barang error,4
jaringanya ngelek banget lelet mending pake indihome de nyesel juga beli orbit jaringan ya parah,4
tdk sesuai ekspektasi,4
lambat,4
katanya dapat paket gb ternyata setelah di regiatrasi cm mb,4
tidak bisa di register call center dan team orbin tidak helpful untuk sekedar minta info gerai orbin yang buka dan no telp suruh cari di google bukannya tidak mau cari rata nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal saya beli orbit call center dan team orbin tidak helpful untuk sekedar minta info gerai orbin yang buka dan no telp suruh cari di google bukannya tidak mau cari rata nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal saya beli orbit,4
tidak sesuai,4
janji bisa kirim instant segera karena kita mau pakai segera nyatanya anda tutup toko baru di kirim paket sampai malam pas besoknya di coba ternyata ssd nya tidak terbaca dan bilangnya kirim ke toko agarnbisa di kirim lagi segera yang baru sama di tangerang ongkos gojek instant rb berarti dekat dan tidak di kirim sampaiiii minggu baru di kirim sangat terlihat sengaja sekali di lama in sangat tidak professional dalam berjualan online anda jual barang rusak pun tidak ada etikat ucapan maaf dan sebagai penutup yang saya anggap licik dan pelit sekali ongkir nya di suruh kita yang tanggung pas barang sampai kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari,4
beli ssd diterima dalam kondisi rusak,4
tidak berfungsi tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa,4
kurang bagus colok hardisk external tdk terdeteksi,4
tidak berfungsi tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa,4
produk kurang baik dan rusak,4
untuk kualitas ternyata sama dengan merk china lain p juga yang harga nya rb an bahkan lebih bagus merk lain di rb an lalu untuk pengiriman lambat sekali dari official store pesan tgl sampai tgl sehingga saya tdk sempat menggunakan pada zoom meeting dan harus memakai hp cukup kecewa dengan produk dan pelayanan logitech kalau utk keyboard nya dan mouse nya emang cukup bagus bbrp model nya tapi sy kapok beli disini karena barang akan hanya di proses bbrp jam sblm pembatalan walaupun pesan nya di hari biasa,4
pengiriman hari terlambat padahal bilang bakal lgsg dikirim habis order di chat lgsg ga respon utk official store brand segede logitech sungguh mengecewakan,4
mousenya kurang responsif jd harus teken agak kuat,4
baru pake bulan sensornya udah jelek suka kemana,4
sangat kecewa baru bulan scroll sudah rusak,4
belom bulan udah gak nyala baterai udah diganti tetap saja gak nyala kecewa udah x di kerjain logitech,4
sangat mengecewakan barang yg dikirim tidak sesuai konfirmasi sampai harus bolak balik kali saya harus nanggung x ongkos kirim sangat mengecewakan,0
kualitas chargeran jelek bangettt baru tiga hari pakai sudah rusakk,0
pelayanan toko jelek proses barang lambat di chat tidak menjawab barang rata rata,0
barang rusak ga guna sama sekali parah,0
cepet rusak kadang konek kadang engga,0
barang gajelas lama sampai kotak penyok,0
setelah dicek tidak utuh gb kok bisa ya kemana sisa gb nya mas mba krn lagi butuh yaudahlah cukup tau beli disini pertama dan terakhir beli disini,0
pesanan saya tidak sampai ke alamat saya mau uang saya kembali saya belum menerima pesanan saya,0
beli kemasan baru di kirim kemasan lama bintang kon tl,0
anjing ternyata palsu ini barang bangsat awas ketipu oi yang asli ada segel distributor nya,0
barang kw jangan beli disini,0
buruk,0
barang bosok sekali pake rusak mau claim dijawab berbelit ama adminnya,0
chat tidak di balas kuota yang di janjikan gb nya tidak masuk hancur la parah parah,0
ga dikasih adaptor gepeng nya ketipu saya,0
jir sehari pake udah rusak quality control dong yg bener ahelah,0
ini gmn ssd nya gak bisa di pake sy minta ganti,0
beli mahal malah sering tiba ngeblur kalau dipakai zoom terus menghubungi cs nya suruh klaim garansi aja minta alamat ga dikasih hadeuhh webcam jutaan kualitas sampah,0
tidak sesuai gambar janggan percaya ama seller ini penipu kualitas jelek,0
tolong pengiriman punya rasa tanggung jawab ini paket habis berenang di comberan mana dan gak yakin isinya apakah masih bisa di pakai atau masuk bak sampah,0
l r trigger nya ampas macam,0
jelek,0
barang sampah ini tidak seharusnya dikirimkan ke alamat saya akan tetapi di tong sampah sangat mengecewakan admin tidak merespon sama sekali chat saya lihat barang yg dikirimkan ada dead pixel lalu layar monitornya kebalik sangat mengecewakan catatan buat teman teman yg ingin beli monitor ini tidak ada audio speakernya kualitas layar juga kurang baik jika ada rejeki lebih belilah dengan merek yg bagus saya sangat menyesal belanja di sini saya tidak merekomendasikan belanja disini,0
tidak jujur dan kelihatan kalau memaksakan barang terjual barang dikirim tidak sesuai pesanan dan akhirnya pembeli disuruh mengirim barang yg tidak ada solusi barang ada atau tidak dengan resiko barang yg di foto ditawarkan memang sebenarnya mungkin tidak ada,0
beli tgl pesanan selesai tgl dan mouse rusak tgl gak bisa komplain dari toped lagi admin ditanyain gmna cara klaim garansi sangat tidak membantu chat hari ini bales besok da dibales gk di jawab lagi,0
gua beli dapetnya v di desc gada penjelasan mengenai versi bagusan v apalagi rgbnya rgb v bener bener cuma red green blue sisa warnanya gaguna switch puller gadapet rgb redup pula ngga ada pemberitahuan mengenai versi keyboardnya bener kecewa kapok beli da ambil ae v rt x v tuh bagus drpd ini kecewa mau gua jual lagi pokoknya,0
belanja dari official store kondisi barang diterima seperti sampah dan barang rongsokan terima kasih,0
ngaco banget pesen mouse tapi gak lengkap gak ada penutup batre sama bluetoothnya,0
barang emang harga aslinya sekitar an tapi seller sok sok an bikin diskon yg dari rb di diskon rb olshop emang keras,0
salah beli gabisa dituker pas di coba ternyata gabisa pas ditanya ini klaim garansi gimana yang bales malah bot tai,0
sangat tidak puas baik produknya dan pelayanannya barang cacat pada kondisi tertutup saya mejanya tidak bisa menutup rapat itu dikarenakan pemasangan engselnya tidak sejajar tinggi pendek ini yg menyebabkan listnya sobek krn dipaksa saat menutup daun mejanya jadi fix nya ini cacat pabrik bukan masalah pengiriman dan ternyata komplain ga diterima oleh toko penjual suruh hubungi sendiri ke kurirnya,0
quality barang jelek baut lepas terus,0
banyakk rusakk dan lecet nyaaaa,0
barang pesan yang dateng bayar harga yg dateng makasih ga ush dibuktikan cek aja pengeluaran barang nya baru cek pembeli jgn pembeli yang ditanya unboxing ga terlalu penting abis in quota,0
keyboard tdk nyala sama sekali padahal baterai baru dicoba beberapa kali tdk bisa memang lebih murah dari toko lain barang tdk bisa sama saja bohong,0
barang rusak di kirim,0
gak bener nih harusnya yang dateng tuh meja utuh malah baut gak terpasang dan baut nya kecil banget mau dilem ngaco nih,0
driver ngaco bukan tokonya barang ok itu smart namanya bengak gua kasih puas komen jg lu bintang satunya buat driver,0
kecewa lah gk ada penyelesaian di chat kg di bls di wa kg di bls lari gitu aj sampah,0
barang dikirim salah pesan webcam logitech di logitech official kok bs dikirimmya headphone jbl dan penukaran barang butuh hari kerja sungguh lama,0
bagus banget keyboardnya packing sangat aman karena double kardus warna juga keren,3
aaaa bagus banget pengirimannya cepatt dan aman juga packaging nya bisa nyala juga tdi udh dicoba beli dgn harga rp senengggbangett,3
terima kasihh boss mantappss smoga lancarr n berkah rezekinya smngttt boss,3
barangnya buwaguusss sesuai pesanan angin nya kencang seperti angin puting beliung laptop ademmmm benerrr,3
mantap bgt kualitas beneran sama kaya webcam sejutaan,3
sampai dengan selamat mulus dan berfungsi sempurna seller mau sabar dikonsultasikan dan mengemas dengan aman recommended,3
proses pesanan dan pengiriman barang cukup cepat produk sesuai deskripsi seller responsif sukses dan tetap jaga protokol kesehatan ya seller terima kasih,3
penjual ramah barangnya bagus sesuai dgn pesanan packing rapi padahal cmn pesan,3
selamat siang bos pesanan sudah saya terima belum di pasang di coba packing sangat rapi dan aman product mantap pokoknya top markotop pelayanan sangat oke toko sangat recomended sekali makasih banyak atas semuanya salam sukses sehat dan sejahtera selalu aamiin,3
recommended seller,3
top bgt,3
asli samsung pelayanan sangat baik,3
mantap laptop jd adem ga cpt panas,3
memory sdh sy pasang ada keping gb ddr semua berfungsi dg baik pengiriman lumayan cepat recommended seller,3
waw murah bangetttt packingnya rapih produknya bagus keren mantap sangat uhuuy pisan deh pokoknya hehehehehe,3
mantab respon cepat pesanan tidak mengecewakan rekomended buat belanja spare part terima kasih atas kerja samanya,3
recommended fast print fast response,3
gila pengiriman cepet banget dr surabaya ke bogor fast respont barang ok sesuai banget packing rapi recomended seller euy ma kasih gan thanks toped,3
barangnya sudah sampai cepet banget recommended lah tengkyuuu,3
recommended seller respon cepat pengiriman cukup cepat,3
earcupnya lembut best value headset sound mantap nyaman dan praktis tinggal plug and play mantaaaap laaah buat gamer,3
respon cepat barang original terbaik recomended packing baik sukses selalu ya,3
kualitas suara ok banget apalagi dengan harga yang terjangkau barang pun dijamin ori karena sudah terdaftar di website razer langsung pokoknya bagus lah bassnya juga kerasa,3
kualitas produk sangat baik dengan harga yang tertera nyaman dipakai suara keras dan berfungsi dengan baik definitely would recommend this,3
mantaaap tanggap banget fast respon juossssssss,3
barangnya bagus bangett dengan harga yang affordable dengan kualitas yang lumayan gokil sihh,3
mantappppp recommended keyboard ma mousenya,3
mantab minnn pengiriman jam sore masih di gasss,3
mantap banget kualitasnya gak usah diragukan lagi,3
cakep produk nya rekomen banget nih sesuai deskripsi,3
packing rapih fast response dan rgbnya juga bagus sangat di rekomendasikan,3
as always gapernah gagal belanja sini thanks ggs,3
cakep bet dah mau duduk aja di kursi ini sampe ga mau berdiri lagi rasanya,3
overall memuaskan layar bagus walau menurut saya ipsnya ga sebagus ips tv warna sudah bagus ga oversaturated brightness sangat terang buat di pakai dalam gelap tetap silau biar brightness udah layar bisa di putar cm di kaki saja gampang kedorong refresh rate terbukti cepat buat fps sudah mantab kalau asa softwarenya mungkin lebih bagus lagi jd setting ga perlu lewat tombol di belakang dpt kabel display port desain keren hampir bezelless nice,3
love it product bagus worth it thank you,3
airo ini punya customer service yang super duper bagus kapanpun saya punya pertanyaan mereka selalu jawab dengan okey produknya pun bagus puas banget love airo,3
barangnya mantap berkualitas kokoh bergaransi seller ramah pokoknya mantap banget,3
layanan sangat memuaskan seller rekomended,3
luar biasa packing di jamin aman pakai bubblewrap cepet banget prosesnya senin malam cekout paginya kirim hari ini rabu sore sampai sangat cepat sangat puas terimakasih sukses selalu yah tech cube,3
mantap sekali sangat recommended respon seller bintang baru pesan tadi malam hari ini langsung datang,3
bahan dari plastik dan tidak kuat juga buat menopang laptop ini sih kuatnya buat tablet gaisss lebih baik jangan beli yang ini,1
barang ga pernah sampe katanya dikirim nyusul tapi ditanya no resi ga dikasih,1
gak bisa di gunakan ini gimana,1
saran aja buat temen temen yang beli disini jangan buang box nya simpan terus biar kalo baru beli terus rusak bisa di claim garansinya,1
packaging gk aman bgt bubble wrap tipis alhasil kemasan barang agak penyok pas dateng thank god barangnya aman ini official store seharusnya lebih baik lagi fix min next duh,1
biarkan gambar bercerita pesan bh yg rusak bh jgn percaya balasan pembelaan apapun dari seller tidak amanah alasan rusak expedisi padahal bisa dilihat sebagian letak cacat bukan dari expedisi dan sebagian yg lain kalaupun dari expedisi ceroboh itu karena packingan tanpa kardus per satuannya dan bubble juga tipis sekali lewat seadanya tanpa tempelan fragile padahal sudah pesan bubble dan kardus tambahan seller berusaha dilimpahkan biar diganti asuransi untung sudah diviseo unboxing dan ditolak jg dr expedisi saya tidak pernah cerita panjang lebar di ulasan tapi berhubung demi kenyamanan buyer lain utk jadi pertimbangan bacalah ini waspadalah waspadalah tidak ada itikad baik berusaha lepas tangan bahaya bisa rusak tokopedia kalau banyak seller begini sudah dikasih note sewaktu proses dan sudah juga dichat dulu sebelum kirim utk hati hati karena mau utk dijual lagi sudah ajukan resolusi pengambalian dana ke tokopedia tp dialihkan ke asuransi utk akhirnya tetap tokopeda refund dana trims admin,1
seharusnya chat dijadikan makesure barang warna dll jgn kaku kaku bgt jadi roko,1
barang diterima dalam kondisi rusak juga di alami beberapa pembeli lain complain di reject oleh seller tapi tokopedia menengahi dan bisa retur tapi sayangnya saya dalam situasi tidak mudah mengirim barang jadi apa boleh buat sangat tidak recommend beli di toko yang cenderung tidak amanah,1
ampun dah ini packing terasal yg pernah gua terima ini klu patah gimana awas aja isinya rusak pas gua pake ya,1
produk ini chip di dalamnya didaur ulang dan dipasang kembali setelah menggiling kata kata aslinya pembeli harap perhatikan teman teman tolong beri perhatian khusus,1
ini toko korup ga sesuai sama isinya not recommended,1
isi paket via link aja yg di rekomendasikan aja selalu gagal via ovo mandiri sampe bca aja selalu gagal ga siap system nya jangan jualan,1
nope kalau kepikiran mau beli saran saya jangan product sering rto gajelas cs after sales service yg buruk dijamin pengalaman kalian akan kecewa,1
pelayanan buruk pengiriman lama dan respon yang lama jangan beli barang disini kalo ga mau kecewa cukup sekali ini aja,1
sama sekali gk bisa dpake asli nyesel,1
produk yg dikirim awal tidak dapat berfungsi dengan semestinya meskipun sdh dikirimkan lg produk lainnya selain itu seller sangat tidak layak menjadi official store pengiriman barang tidak sesuai dengan jadwal yang dijanjikan di deskripsi sistem tokped selain itu sangat slow response seller ini not recommended,1
respon cellernya setengah mati nungguinnnn pengiriman nunggu berhari hari padahal pake pengiriman instan dah bayar ongkir mahal celler sama pembeli tinggla di jakarta utara g arekomen buat pembeli lagi cari yang lain dari pada emosi nungguin,1
parah prosesnya lama banget semoga ini bisa jadi pelajaram buat team logitech,1
harga sih promo sy pake gojek instant lebih mahal ongkirnya drpd barangnya krn mau dipake cepet pas nyampe eh ternyata udah patah sebelah standnya kecewa sih karna kalo jual promo ada cacat ya di catet gitu biar customer ga beli barang promo kalo tau ada cacatnya seller si oke buat tuker barang tp udh ga efektif aja sy mau pake cepet jg jd ga bisa di retur jg ongkir lebih mahal lagi dari kualitas barangnya mengecewakan deh pokonya kapok beli disini,1
hati ternyata di foto display adalah varian yg ada bonus harga berbeda,1
estimasi proses pesanan hari bung ini online platform kalo ga siap cepet menuhin customer secara online jualan offline aja customer beli online buat dipake segera dan kalau ada delay proses apalah itu ditulis di deskripsi produk ini customer nanya dulu baru diinfo proses pemesanan hari itu juga ga ada efeknya ke kemasan cuma dibungkus bubble wrap tipissss ga kebayang kalo customer ada yg apes barangnya dilempar jadi ancur isinya dan jangan pernah janjiin ke customer barang akan dipickup antar saat weekend karena kalian aja libur sabtu minggu,1
pesan tanggal maret jam pakai pengiriman instant sampai nya tanggal maret padahal sudah bayar mahal dikirimnya keesokan harinya bukan salah pengantarnya driver go send nya sudah mengantarkan paket dengan baik tapi durasi proses dari toko sangat lama padahal butuhnya tanggal maret makanya saya pilih pengiriman instant saya juga sudah tanya pihak toko jika paket bisa dikirim hari itu juga atau tidak jawabannya bisa tapi kenyataannya paket saya tidak dikirim pada hari itu juga kalau tidak bisa dikirim hari itu juga ya bilang saya juga sudah ajukan cancel pesanan juga tidak ada respon dari penjual pelayanan sangat sangat buruk tidak recommended semoga lebih baik lagi kedepannya,1
barang ternyata palsu,1
ga jelas info bohong yang bikin pengalaman tidak menyenangkan kalo mau beli produk dbe cari toko laen yang ini tipu tipu headphone dateng dengan keadaan bikin kuping sakit,1
rgb mati dari awal datang penjual gak respon barang gak lulus qc sepertinya yg dijual hati hati kalau beli,1
hati belanja disini dapet unit cacat dblg suruh ajukan komplain nti mau dituker trnyta tokonya sndiri yg blg gabs dituker official store abal ini mah ga jelas solusinya gmn,1
pelayanan toko sangat buruk saya order laptop disini dan setelah barangnya sampai laptop nya ga mau nyala habis itu saya berusaha minta solusi dari seller awalnya seller masih mau respon seadanya tidak menawarkan solusi dan sangat lamban lalu karena mikir respondnya lama banget terpaksa saya ajukan komplain tapi setelah di komplain seller ga pernah jawab diskusi ataupun respon kendalanya saya dicuekin selama hari sampai jangka waktu habis dan dana di refund kalau ada yg baca ulasan saya saya anjurkan utk order di toko lain jangan tergoda sama tittle official store nyata nya pelayanan toko ga lebih baik dari merchant biasa harga juga ga lebih murah,1
pengiriman laptop dr toko tidak dicek dahulu laptop yg dikasih ke pembeli layar pecah kerdus rusak padahal packingan tidak ada yg rusak menghabiskan waktu saja buat klaim ke tokpedia berminggu minggu baru berhasil klaim ke pihak asuransi ternyata toko yg sudah verified tidak menjamin pelayanan toko ini buruk respon cepat saat awal beli aja saat dikomplen sangat lama mengulur waktu tidak mau tanggung jawab padahal jelas komplainan langsung dihari berikutny setelah paket dibuka yg seharusny bisa langsung tuker unit langsung dr toko trus apa gunany ditulis di deskripsi garansi toko hari cukup terakhir beli disini thanks,1
jangan mau beli di sini cek review penjualan nya banyak yg rusak di kirim saya korban juga cek foto barang yang saya order supaya yang lain tidak jadi korban kacau toko ini menjual barang rusak,1
biarkan gambar bercerita pesan bh yg rusak bh jgn percaya balasan pembelaan apapun dari seller tidak amanah alasan rusak expedisi padahal bisa dilihat sebagian letak cacat bukan dari expedisi dan sebagian yg lain kalaupun dari expedisi ceroboh itu karena packingan tanpa kardus per satuannya dan bubble juga tipis sekali lewat seadanya tanpa tempelan fragile padahal sudah pesan bubble dan kardus tambahan seller berusaha dilimpahkan biar diganti asuransi untung sudah diviseo unboxing dan ditolak jg dr expedisi saya tidak pernah cerita panjang lebar di ulasan tapi berhubung demi kenyamanan buyer lain utk jadi pertimbangan bacalah ini waspadalah waspadalah tidak ada itikad baik berusaha lepas tangan bahaya bisa rusak tokopedia kalau banyak seller begini sudah dikasih note sewaktu proses dan sudah juga dichat dulu sebelum kirim utk hati hati karena mau utk dijual lagi sudah ajukan resolusi pengambalian dana ke tokopedia tp dialihkan ke asuransi utk akhirnya tetap tokopeda refund dana trims admin,1
seharusnya chat dijadikan makesure barang warna dll jgn kaku kaku bgt jadi roko,1
meja laptopnya begitu dibuka kardusnya sudah pecah diujungnya dan ada retak juga dibagian bawah trus mejanya juga hijau kusam seperti barang bekas pakai seller dikomplain menolak penukaran barang dengan alasan buktinya kurang malah diarahkan utk menggunakan asuransi dr tokopedia dgn proses yg ribet harus ada bukti pemusnahan barang jg pas sy lihat lagi ulasan ternyata banyak juga yg dapet mejanya pecah dan rusak dan mereka semua pada kecewa saran kalau jualan yg jujur kl memang yg dijual barang bekas atau ex display bilang saja tulis di deskripsi yg jujur tolong tokopedia lebih selektif terhadap toko yg seperti ini packing barang juga terkesan asal an cuma pakai kardus tipis saja ga pakai bubble wrap sama sekali semoga ga ada lagi customer yg tertipu seperti saya,1
tolong di cek sebelum dikirim ya khususnya sd,1
barang baru datang pertma saya coba di samsung a bisa terbaca baru saya pasang di cctv ternyta ga bisa penasran saya coba di samsung m juga ga bisa pensran lagi saya coba di oppo a ternyta ga bisa juga masih pensran saya coba lagi disamsung a ternyta dh ga bisa seumur umur baru ini saya kasih bintang klaim garansi ternyta ribet juga kapok saya belnja di apliksi ini maupun toko ini masih enkn tko seblah komplain kepenjual disurh komplain ke toped komplain toped disurh komplain dulu gimna baiknuy sama penjual hadeh pok kapok saya,1
sebelum mempercayakan penyimpanan data kalian mending pikir dulu deh saya baru pakai blm minggu kartu langsung tidak terbaca lagi mana ada data yg tidak bsa di selamatkan dan proses garansinya aja pake estimasi sebulan yap sebulan mending beli yg pasti aja merk baru blum tentu terjamin kualitasnya be carefull and keep healthy thx,1
sangat kecewa sekali produk kakinya goyang tidak rata oglek hati jika membeli warna putih karena tidak sesuai difoto produk barang yg sampai warna coklat tapi penjual ngotot meja yg diterima saya itu warna putih sesuai foto dan tidak mau menerima komplain saya lihat review beberapa pembeli lainnya juga mengalami hal yg sama seperti saya dikirimkan warna berbeda dari yang dipesan walaupun saya sudah bertanya dulu di msg memastikan sebelum membeli dan menulis pesan sewaktu order percuma saja,1
baru pake hari udh berulah susah hidup kadang hang frezee blank saat lagi on komputer minta di ganti gk di respon trs buat apa embel garansi lifetime not recommended,1
ramnya gabisa di pakai walau udh minta tuker x giliran dimintain refund susah banget jangan mau beli disini pokoknya ga recommend banget hati hatii sama ram palsu,1
suara kecil sebelah ini produk bermasalah kaulitas kontrolnya gak rekomen,1
laptop rusak pass di aktifkan fan error setelah di perbaiki ternyata keyboardnya rusak setelah ganti keyboardnya ternyata adaptornya rusak jangan belanja disini,1
barang sesuai bagus dan cepat sampai,2
produk mantapp,2
barang sudah sampai barang bagus sesuai dengan deskripsi produk,2
ukuran karet sesuai mantul dan waktu pengiriman lebih cepat dari jadwalnya mantap dah is the best,2
pengiriman cepat barang kondisi bagus makasih ya,2
barang sesuai pesanan kondisi berfungsi dengan baik seller responsif proses kirim cepat recommended,2
barangnya bagus kualitas product bagus harga terjangkau recomended,2
brg sampai packing oke cocok bt kado ada bonus dompet koin,2
bisa melempar jauh sesuai dengan deskripsi produk selalu ready stock packing rapi,2
barang bagus sesuai harapan pouchnya mantap cukup bagus service seller ok buanget terima kasih barang sesuai iklan,2
pengiriman cepat barang bagus packing rapi terimakasih,2
kualitas product bagus material bagus harga terjangkau recomended,2
kualitas product bagus material bagus recomended harga terjangkau,2
baru juga dipesan langsung di proses penjual ramah beyblade berputar kencang seperti dan juga harga lebih murah dari toko laen,2
kartu nya lengkap harga kompetitif seru bgt game nya,2
kartu nya lengkap seru bgt game nya harga kompetitif,2
terima kasih pesanan sesuai,2
kartu nya lengkap packing baik model terbaru ready stock,2
barang sesuai deskripsi pengiriman cepat recommended seller,2
barang sangat berkualitas sebanding dg harga kelengkapan banyak sudah dapat tas panduan yg jelas dan buku moderator tebal box kartu juga tebal mantappl,2
mantap gan barang mendarat dengan mulus kartu oke pemerannya lengkap juga ada buku panduan ama buku catetan buat moderator makasih gan,2
enak kartunya sesuai ekspektasi plastik beneran licin dan kerasa bakal awet,2
barang berfungsi dengan baik packaging aman packaging aman barangnya original,2
bagus dan tahan lama banget,2
paket sdh diterima dgn baik sesuai pesanan respon dan proses nya cepat packing nya juga rapi dan safety thanks gan,2
barangnya original packaging aman,2
bagus bangettt dapet promo jadi cuman bayar rp mantap,2
barang bagus gak mudah robek bahan plastik,2
keren sdh tiba kartu remi nya packaging aman,2
packaging aman barang berfungsi dengan baik,2
barang berfungsi dengan baik packaging aman,2
kualitas barang bagus harga murah,2
pengiriman cepat dan packing aman dapat harga flashsale,2
saya beli allhamdulillah barang sampai tujuan dan sangat memuaskan,2
sangat amazing cool a f barang cepat sampee luar biasa,2
pelayanan terbaik dan barang original,2
mantap nih kartu murah bagus kualitas nya gak nyesel,2
bener bener sesuai ekspektasi sih auto belajar triumph,2
packing rapi pengiriman cepat seller responsif produk bagus dan ori recommended lah pokoknya,2
mantap barang bagus pack juga aman banget bener recommended seller deh buat nyari playing card yg keren begini,2
barangnya datang dalam keadaan tidak bagus,4
yg bikin kecewa pesen items yg nyampe cuma satu masih saya tunggu kekurangan barangnya uno stacko kayu uno card pcs dan werewolf pcs kalau tidak tolong refund aja uangnya,4
sangat kecewa tidak seperti dulu pakcing sangat buruk box kayu hancur beli bh untuk jual lagi gak ada yang bagus retur kena biaya lagi terpaksa kami jual tanpa box kayu,4
kecewa sih potongannya gak rapi ukurannya beda beda ada yg lebih besar lebih kecil wtf dgn harga segitu harusnya kualitas uda bagus gak worth setipis kartu remi bagusnya dikemasan doang kemasannya oke menarik tp yg paling penting kan isinya pak k wtf gak ikhlas,4
